Codigo;Nome;E-mail;Telefone;Matricula;Senha;Latts;Status;Foto;Data de Nascimento
11;Ana Sofia Dias;AnaS.Dias@gmail.com;(41) 3732-7532;97362;37266;https://www.google.com/imgres?imgurl=https%3A%2F%2Fst.depositphotos.com%2F2208684%2F3193%2Fi%2F600%2Fdepositphotos_31934889-stock-photo-smiling-teacher-standing-in-classroom.jpg&imgrefurl=https%3A%2F%2Fbr.depositphotos.com%2Fstock-photos%2Fprofessor.html&tbnid=vihr0BtSvYdyLM&vet=10CDAQMyh9ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg..i&docid=Na415BXV4Hn05M&w=600&h=365&q=professor%20&ved=0CDAQMyh9ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fst.depositphotos.com%2F2208684%2F3193%2Fi%2F600%2Fdepositphotos_31934889-stock-photo-smiling-teacher-standing-in-classroom.jpg&imgrefurl=https%3A%2F%2Fbr.depositphotos.com%2Fstock-photos%2Fprofessor.html&tbnid=vihr0BtSvYdyLM&vet=10CDAQMyh9ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg..i&docid=Na415BXV4Hn05M&w=600&h=365&q=professor%20&ved=0CDAQMyh9ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg;37266
12;Isaac Pinto;Isaac.Pinto@gmail.com;(46) 2494-9114;999388;36219;https://www.google.com/imgres?imgurl=https%3A%2F%2Fead.univali.br%2Fhubfs%2Fsalario-professor-media-salarial-nacional-professores-por-nivel.jpg&imgrefurl=https%3A%2F%2Fead.univali.br%2Fblog%2Fsalario-professor&tbnid=xOIyXtrXdeFYiM&vet=10CBkQMyh0ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg..i&docid=xmHBwWpW5GyImM&w=1000&h=667&q=professor%20&ved=0CBkQMyh0ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fead.univali.br%2Fhubfs%2Fsalario-professor-media-salarial-nacional-professores-por-nivel.jpg&imgrefurl=https%3A%2F%2Fead.univali.br%2Fblog%2Fsalario-professor&tbnid=xOIyXtrXdeFYiM&vet=10CBkQMyh0ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg..i&docid=xmHBwWpW5GyImM&w=1000&h=667&q=professor%20&ved=0CBkQMyh0ahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg;36219
13;Carolina Vendas;Carolina.Vendas@gmail.com;(44) 3393-2108;143050;27662;https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.provafacilnaweb.com.br%2Fwp-content%2Fuploads%2F2020%2F10%2Fretencao-de-alunos-entenda-o-papel-do-professor-para-evitar-a-evasao-academica-1030x687.jpg&imgrefurl=https%3A%2F%2Fwww.provafacilnaweb.com.br%2Fblog%2Fretencao-de-alunos-entenda-o-papel-do-professor-para-evitar-a-evasao-academica%2F&tbnid=5eCsl3a-Smd0rM&vet=10CF4QMyiTAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI..i&docid=c1mOyxBMo7FPbM&w=1030&h=687&q=professor%20&ved=0CF4QMyiTAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.provafacilnaweb.com.br%2Fwp-content%2Fuploads%2F2020%2F10%2Fretencao-de-alunos-entenda-o-papel-do-professor-para-evitar-a-evasao-academica-1030x687.jpg&imgrefurl=https%3A%2F%2Fwww.provafacilnaweb.com.br%2Fblog%2Fretencao-de-alunos-entenda-o-papel-do-professor-para-evitar-a-evasao-academica%2F&tbnid=5eCsl3a-Smd0rM&vet=10CF4QMyiTAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI..i&docid=c1mOyxBMo7FPbM&w=1030&h=687&q=professor%20&ved=0CF4QMyiTAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI;27662
14;Ana Carolina Nogueira;AnaCarol.Nogueira@gmail.com;(43) 3178-7041;308512;27896;https://www.google.com/imgres?imgurl=https%3A%2F%2F1.bp.blogspot.com%2F-bw3TYPI__G4%2FXxx8xlhb9VI%2FAAAAAAAAEkA%2FSc9Mco5wy4wDywTx17N5A9E1Uj0ZnpbogCLcBGAsYHQ%2Fs640%2Fprofessora-brava-bronca-aluno.jpg&imgrefurl=https%3A%2F%2Fwww.psicoedu.com.br%2F2020%2F07%2Fbronca-de-professor-nao-melhora-mau-comportamento-aluno.html&tbnid=WQNioXPoUFsZEM&vet=10CGAQMyiUAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI..i&docid=kuFhielljsuVxM&w=640&h=427&q=professor%20&ved=0CGAQMyiUAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2F1.bp.blogspot.com%2F-bw3TYPI__G4%2FXxx8xlhb9VI%2FAAAAAAAAEkA%2FSc9Mco5wy4wDywTx17N5A9E1Uj0ZnpbogCLcBGAsYHQ%2Fs640%2Fprofessora-brava-bronca-aluno.jpg&imgrefurl=https%3A%2F%2Fwww.psicoedu.com.br%2F2020%2F07%2Fbronca-de-professor-nao-melhora-mau-comportamento-aluno.html&tbnid=WQNioXPoUFsZEM&vet=10CGAQMyiUAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI..i&docid=kuFhielljsuVxM&w=640&h=427&q=professor%20&ved=0CGAQMyiUAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI;27896
15;Sofia Lopes;Sofia.Lopes@gmail.com;(46) 3253-5395;59119;24358;https://www.google.com/imgres?imgurl=https%3A%2F%2Feducacao.sme.prefeitura.sp.gov.br%2Fwp-content%2Fuploads%2F2022%2F08%2Freajuste-6.jpg&imgrefurl=https%3A%2F%2Feducacao.sme.prefeitura.sp.gov.br%2Fnoticias%2Fprefeitura-de-sp-aumenta-318-no-piso-salarial-inicial-de-servidores-da-educacao-professor-comeca-carreira-com-r-5-050%2F&tbnid=ayR01cCdy2kVBM&vet=10CGsQMyiXAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI..i&docid=ZK9BfTSz52r3CM&w=825&h=470&q=professor%20&ved=0CGsQMyiXAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Feducacao.sme.prefeitura.sp.gov.br%2Fwp-content%2Fuploads%2F2022%2F08%2Freajuste-6.jpg&imgrefurl=https%3A%2F%2Feducacao.sme.prefeitura.sp.gov.br%2Fnoticias%2Fprefeitura-de-sp-aumenta-318-no-piso-salarial-inicial-de-servidores-da-educacao-professor-comeca-carreira-com-r-5-050%2F&tbnid=ayR01cCdy2kVBM&vet=10CGsQMyiXAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI..i&docid=ZK9BfTSz52r3CM&w=825&h=470&q=professor%20&ved=0CGsQMyiXAWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAI;24358
16;Emanuely Ribeiro;Emanuely.Ribeiro@gmail.com;(42) 2450-7999;845834;30513;https://www.google.com/imgres?imgurl=https%3A%2F%2Fabladvogados.com%2Fwp-content%2Fuploads%2F2021%2F01%2Faposentadoria-do-professor-o-que-e.jpg&imgrefurl=https%3A%2F%2Fabladvogados.com%2Fartigos%2Faposentadoria-do-professor%2F&tbnid=xrCdYG6o5a3R1M&vet=10CJIBEDMoqgFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC..i&docid=JkYhT6mV85RcCM&w=1000&h=667&q=professor%20&ved=0CJIBEDMoqgFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fabladvogados.com%2Fwp-content%2Fuploads%2F2021%2F01%2Faposentadoria-do-professor-o-que-e.jpg&imgrefurl=https%3A%2F%2Fabladvogados.com%2Fartigos%2Faposentadoria-do-professor%2F&tbnid=xrCdYG6o5a3R1M&vet=10CJIBEDMoqgFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC..i&docid=JkYhT6mV85RcCM&w=1000&h=667&q=professor%20&ved=0CJIBEDMoqgFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC;30513
17;Isadora Costela;Isadora.Costela@gmail.com;(45) 3692-0391;409508;24860;https://www.google.com/imgres?imgurl=https%3A%2F%2Fplg.adv.br%2Fwp-content%2Fuploads%2F2019%2F10%2F2019-10-06-jornada-de-trabalho-do-professor-2.jpg&imgrefurl=https%3A%2F%2Fplg.adv.br%2Fnova-jornada-de-trabalho-do-professor%2F&tbnid=R28Yoj4fvMfcFM&vet=10CLEBEDMotwFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC..i&docid=hRTh90RfTrpvBM&w=630&h=420&q=professor%20&ved=0CLEBEDMotwFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fplg.adv.br%2Fwp-content%2Fuploads%2F2019%2F10%2F2019-10-06-jornada-de-trabalho-do-professor-2.jpg&imgrefurl=https%3A%2F%2Fplg.adv.br%2Fnova-jornada-de-trabalho-do-professor%2F&tbnid=R28Yoj4fvMfcFM&vet=10CLEBEDMotwFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC..i&docid=hRTh90RfTrpvBM&w=630&h=420&q=professor%20&ved=0CLEBEDMotwFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC;24860
18;Sofia Gonçalves;Sofia.Gonçalves@gmail.com;(43) 2414-6501;835214;36843;https://www.google.com/imgres?imgurl=https%3A%2F%2Feducacao.imaginie.com.br%2Fwp-content%2Fuploads%2F2021%2F03%2Fprofessor-do-futuro.png&imgrefurl=https%3A%2F%2Feducacao.imaginie.com.br%2Fprofessor-do-futuro%2F&tbnid=Jmws173GzZl75M&vet=10COIBEDMozAFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC..i&docid=fUzxmWLV3cgyyM&w=600&h=291&q=professor%20&ved=0COIBEDMozAFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Feducacao.imaginie.com.br%2Fwp-content%2Fuploads%2F2021%2F03%2Fprofessor-do-futuro.png&imgrefurl=https%3A%2F%2Feducacao.imaginie.com.br%2Fprofessor-do-futuro%2F&tbnid=Jmws173GzZl75M&vet=10COIBEDMozAFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC..i&docid=fUzxmWLV3cgyyM&w=600&h=291&q=professor%20&ved=0COIBEDMozAFqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAC;36843
19;Ana Sofia Monteiro;Anasofi.Monteiro@gmail.com;(42) 2728-4725;883750;23347;https://www.google.com/imgres?imgurl=https%3A%2F%2Fmedia.tutormundi.com%2Fwp-content%2Fuploads%2F2021%2F06%2F18161455%2Fsaude-mental-dos-professores-na-pandemia.jpg&imgrefurl=https%3A%2F%2Ftutormundi.com%2Fblog%2Fsaude-mental-dos-professores-na-pandemia%2F&tbnid=2kiqWIF41mImCM&vet=10CFAQMyj0AWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAc..i&docid=nMDnaaA3dNOuTM&w=1200&h=675&q=professor%20&ved=0CFAQMyj0AWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAc;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fmedia.tutormundi.com%2Fwp-content%2Fuploads%2F2021%2F06%2F18161455%2Fsaude-mental-dos-professores-na-pandemia.jpg&imgrefurl=https%3A%2F%2Ftutormundi.com%2Fblog%2Fsaude-mental-dos-professores-na-pandemia%2F&tbnid=2kiqWIF41mImCM&vet=10CFAQMyj0AWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAc..i&docid=nMDnaaA3dNOuTM&w=1200&h=675&q=professor%20&ved=0CFAQMyj0AWoXChMIsN24yMup-gIVAAAAAB0AAAAAEAc;23347
20;Ian Lopes;Ian.Lopes@gmail.com;(41) 2991-4143;77770;25034;https://www.google.com/imgres?imgurl=https%3A%2F%2Fkoetzadvocacia.com.br%2Fwp-content%2Fuploads%2F2021%2F01%2FAposentadoria-dos-Professores-quem-tem-direito-e-quais-as-regras.jpg&imgrefurl=https%3A%2F%2Fkoetzadvocacia.com.br%2Faposentadoria-dos-professores-quem-tem-direito-e-quais-as-regras%2F&tbnid=4D2B_-Ncb4DsHM&vet=10CIoBEDMojgJqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAH..i&docid=wmj-YQBC-H7FNM&w=580&h=387&q=professor%20&ved=0CIoBEDMojgJqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAH;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fkoetzadvocacia.com.br%2Fwp-content%2Fuploads%2F2021%2F01%2FAposentadoria-dos-Professores-quem-tem-direito-e-quais-as-regras.jpg&imgrefurl=https%3A%2F%2Fkoetzadvocacia.com.br%2Faposentadoria-dos-professores-quem-tem-direito-e-quais-as-regras%2F&tbnid=4D2B_-Ncb4DsHM&vet=10CIoBEDMojgJqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAH..i&docid=wmj-YQBC-H7FNM&w=580&h=387&q=professor%20&ved=0CIoBEDMojgJqFwoTCLDduMjLqfoCFQAAAAAdAAAAABAH;25034
